101,103,1,10,11,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,101,1,2,3,13,14,20,16,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,102,1,2,3,14,20,16,10,3,16,10,20,4,0,0,0,0,0,0,0,0,0,0,0
102,101,1,2,3,16,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
101,103,1,10,11,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,101,1,13,2,3,13,14,20,16,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0
101,102,1,2,3,14,20,16,10,3,16,10,20,4,0,0,0,0,0,0,0,0,0,0,0
102,101,1,2,3,16,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
101,103,1,10,11,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,101,1,2,3,13,14,20,16,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,102,1,14,2,3,14,20,16,10,3,16,10,20,4,0,0,0,0,0,0,0,0,0,0
102,101,1,2,3,16,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
101,102,1,10,31,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,103,1,11,10,32,2,3,14,10,11,31,20,4,0,0,0,0,0,0,0,0,0,0,0
103,101,1,32,2,3,13,31,16,20,3,14,16,20,4,0,0,0,0,0,0,0,0,0,0
101,102,1,2,3,14,16,20,3,16,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
101,102,1,10,31,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,103,1,11,32,2,3,14,10,31,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0
103,101,1,32,2,3,13,11,31,16,20,3,14,10,16,20,4,0,0,0,0,0,0,0,0
101,102,1,2,3,14,10,16,20,3,16,32,4,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
